Sample	Acidaminococcaceae	Actinomycetaceae	Aeromonadaceae	Akkermansiaceae	Alcaligenaceae	Atopobiaceae	Bacillaceae	Bacillales_unclassified	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Campylobacteraceae	Carnobacteriaceae	Catabacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_unclassified	Coriobacteriaceae	Corynebacteriaceae	Corynebacteriales_unclassified	Debaryomycetaceae	Dermabacteraceae	Desulfovibrionaceae	Dysgonamonadaceae	Eggerthellaceae	Enterobacterales_unclassified	Enterobacteriaceae	Enterococcaceae	Erwiniaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes_unclassified	Fusobacteriaceae	Hafniaceae	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Malasseziaceae	Micrococcaceae	Moraxellaceae	Morganellaceae	Mycoplasmataceae	Neisseriaceae	Odoribacteraceae	Oscillospiraceae	Paenibacillaceae	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Proteobacteria_unclassified	Pseudomonadaceae	Rikenellaceae	Ruminococcaceae	Saccharomycetaceae	Selenomonadaceae	Sphingobacteriaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Veillonellaceae	Xanthomonadaceae	Yersiniaceae
SRR3131762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.83785	0	0	0	0	0	0	0	0	0	0	0	49.2241	34.30615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23742	0	0	0	0	0	0	0	0	0	0	0	11.74519	0	0	0.64929	0	0
SRR3131764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42496	9.26357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.30806	0.00342	0	0	0	0	0
SRR3131766	0	0.05295	0	0	0	0	0	0	0	0	3.36721	0	0	0	0	0.96026	0	0	0	0.01443	0	0	0	0	0	0	0	86.50951	0.95543	0	0	0	0	0	0	0	1.46839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06295	0	0	6.60886	0	0
SRR3131768	0	0.51567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00971	0	0	0	0	85.63608	10.74218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53889	0	0	0	2.55747	0	0
SRR3131770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14638	0	0	0	0	0	0	0	0	0	0	0	86.11939	3.46365	0	0	0	0	0	0	0	0	0	0	0.08832	0	0	0	0	0	0	0	0	0	0.03795	0	0	0	7.62415	0	0	0	0	0	0	0	0.29958	0.02913	0	0	2.19146	0	0
SRR3131772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.58435	18.34809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.06756	0	0
SRR3131774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.34509	14.64635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00856	0	0	0	0	0
SRR3131776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.92927	0	0	0	0	0	0	0	0	37.58108	0	0	0	0	0	0	0	0	0	0	2.02631	0	0	0	0	0	4.57326	0	0	0	0	0	0	0	1.89008	0	0	0	0	0	0
SRR3131778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.72996	0.24921	0	0	0	0	0
SRR3131780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR3131782	0	0	0	0	0	0	0	0	0	0	40.93608	0	0	0	0	0.00141	0	0	0	0	0	0	0	0	0	0	0	51.54974	3.78212	0.4785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01067	0	0	0	0	0	0	0	0.25266	0.21136	0	0	2.77746	0	0
SRR3131784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.85196	0.14804	0	0	0	0	0
SRR3131786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06735	0	0	0	0	0	0	0	98.8215	0.99595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01772	0	0	0	0.02592	0	0	0	0	0	0	0	0	0.03013	0	0	0.04143	0	0
SRR3131788	0	0	0	0	0	0	0	0	54.89627	0	0.00379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.62022	9.0994	0	0	0	0	0	0	1.95601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02059	0	1.78254	0	0	2.62119
SRR3131790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00145	0	0	0	0	0	0	0	96.24771	3.65108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0732	0.02656	0	0	0	0	0
SRR3131792	0	0	0	0	0	0	0	0	0	0	26.76624	0	0	0	0	0	0	0	0	0.00662	0	0	0	0	0	0	0	70.57526	2.01908	0	0	0	0	0	0	0	0	0	0	0	0.43485	0	0	0	0	0	0	0.0825	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11545	0	0	0	0	0	0
SRR3131794	0	0	0	0	0	0	0	0	57.39525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.76466	2.21329	0	0	0	0	0	0	0.34212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06073	0	0	0.22396
SRR3131796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.9788	0.92184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09936	0	0
SRR3131798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92658	0	0	0	0	0	0	0	0	0	0	0	95.73573	0.26499	0	2.19163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02328	0	0	0	0.85779	0	0
SRR3131800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.67717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01942	0	0	0	0	0	0.00297	0.23607	0	0	3.19911	0	0	0	0	0	0	0	0.06499	2.03181	0	0	0	0	38.76846
SRR3131802	0	0.02328	0	0	0	0	0	0	0	0	63.02514	0	0	0	0	0.97487	0	0	0	0	0	0	0	0	0	0	0	23.45081	10.22013	0	0	0	0	0	0.2948	0	0	0	0	0.00329	0	0	0	0	0	0	0	0	0	0.00066	0.28363	0	0	1.38787	0	0	0	0	0	0	0	0.1828	0.15272	0	0	0	0	0
SRR3131804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.33441	0	0	0	0.03522	0	0	0	0	0	0	0	10.64347	81.19111	0	0	0	0	0
SRR3131806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.87791	39.91963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11642	0	0	0	0	0	13.64823	0	0	0	0	0	0	0	0.38579	0	0	0	30.05201	0	0
SRR3131808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.54769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5163	0	0	0	0	0	0	0	0.79338	16.14263	0	0	0	0	0
SRR3131810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.57204	0	0	0	0	0	0	0	53.09504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.13487	0	0	0	0.19804	0	0
SRR3131812	0	0	0	0	0	0	0	0	0	0	92.00561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.63852	2.49503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09538	0	0	0	0	0	0	0	1.76545	0	0	0	0	0	0
