Sample	Acinetobacter	Actinomyces	Aeriscardovia	Aeromonas	Anaerococcus	Anaerostipes	Anaerotruncus	Asaccharobacter	Atlantibacter	Atopobium	Bacteroides	Bifidobacterium	Blautia	Campylobacter	Candida	Citrobacter	Clostridioides	Clostridium	Collinsella	Coprobacillus	Corynebacterium	Cronobacter	Cutibacterium	Denitrobacterium	Dermabacter	Dialister	Eggerthella	Enorma	Enterobacter	Enterococcus	Enterorhabdus	Erysipelatoclostridium	Escherichia	Faecalibacterium	Finegoldia	Flavonifractor	Fusicatenibacter	Fusobacterium	Gemella	Gordonibacter	Granulicatella	Haemophilus	Hafnia	Intestinibacter	Klebsiella	Kluyvera	Lachnoclostridium	Lactobacillus	Lactococcus	Leclercia	Leuconostoc	Malassezia	Megasphaera	Mixta	Morganella	Morococcus	Mycoplasma	Negativicoccus	Neisseria	Pantoea	Parabacteroides	Paraclostridium	Peptococcus	Peptoniphilus	Peptostreptococcus	Pluralibacter	Prevotella	Proteus	Pseudomonas	Rahnella	Ralstonia	Raoultella	Rhodococcus	Roseburia	Rothia	Ruminococcaceae_unclassified	Ruthenibacterium	Scardovia	Serratia	Staphylococcus	Stenotrophomonas	Streptococcus	Terrisporobacter	Ureaplasma	Varibaculum	Veillonella
107.02_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03287	0	0	0	0.00425	0	0	0.05252	0	0	0	0	0.05679	0	0	0.12358	23.35621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.61463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5494	0.03788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17187	0	0	0	0
107.02_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.96061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107.02_42	0	0	0	0	1.46591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03137	0	0	0.19758	11.09067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86.06043	0	0	0	0	0	0	0	0	0	0	0	0	0.88857	0	0	0	0.26548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107.02_46	0	0	0	0	1.31945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1534	0	0	0.08189	12.26055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.5637	0	0	0	0	0	0	0	0	0	0	0	0	0.0642	0	0	0	0.28245	0.137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13737	0
107.02_56	0	0	0	0	3.59877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0713	0	0	0	0	0	0	0	0	74.31085	0	0	0	0	0	0	0	0	0.02651	0	0	0	0	0	18.35066	0	0	0	0	0	0	0	0	0	0	0	0	0.39224	0	0	0	0.04063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01223	0	0	3.19682	0
1106.01_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05557	0	0	0	0	0	0	0	0	99.54027	0	0	0	0	0	0
1106.01_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.47998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.52002	0	0	0	0	0	0
1106.01_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08957	0	0	0	0	0	0	0	0	98.27861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93542	0	0	0	0	0	0
1106.01_28	0	0	0	0	0	0	0	0	0	0	0	0.00916	0	0	0	0	0	0	0	0	0.05304	0	0	0	0	0	0	0	0	58.53333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.31001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09445	0	0	0	0	0	0
1106.01_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01272	0	0	0	0	0	0	0	0	24.12789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.63897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00534	0	0	0	0	0	0	0	0	0	0	0.21508	0	0	0	0	0	0
